company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Gokul Agro Resources Limited,73.67,15000000.0,13.8
Gokul Refoils and Solvent Limited,74.62,0.0,0.0
Golden Tobacco Limited,30.04,0.0,0.0
Goldiam International Limited,63.32,0.0,0.0
Goodluck India Limited,55.78,588000.0,3.22
Goyal Aluminiums Limited,69.97,0.0,0.0
Granules India Limited,38.87,0.0,0.0
Graphite India Limited,65.34,0.0,0.0
Grasim Industries Limited,43.36,0.0,0.0
Gravita India Limited,64.82,0.0,0.0
Greaves Cotton Limited,55.88,0.0,0.0
Greenply Industries Limited,52.01,0.0,0.0
Grindwell Norton Limited,58.03,0.0,0.0
Gufic Biosciences Limited,72.51,0.0,0.0
Gujarat Alkalies and Chemicals Limited,46.28,0.0,0.0
Gujarat Ambuja Exports Limited,63.84,0.0,0.0
Gujarat Apollo Industries Limited,54.64,0.0,0.0
Gujarat Fluorochemicals Limited,62.58,939000.0,1.37
Gujarat Industries Power Company Limited,55.43,0.0,0.0
Gujarat Lease Financing Limited,45.67,0.0,0.0
Gujarat Mineral Development Corporation Limited,74.0,0.0,0.0
Gujarat Narmada Valley Fertilizers and Chemicals Limited,41.3,0.0,0.0
Gujarat Pipavav Port Limited,44.01,0.0,0.0
Gujarat Raffia Industries Limited,39.56,0.0,0.0
Gujarat State Fertilizers & Chemicals Limited,37.84,0.0,0.0
Gujarat State Petronet Limited,37.63,0.0,0.0
Gulf Oil Lubricants India Limited,67.22,0.0,0.0
HBL Power Systems Limited,59.11,0.0,0.0
HCL Infosystems Limited,62.89,0.0,0.0
HCL Technologies Limited,61.09,0.0,0.0
HDFC Bank Limited,13.48,0.0,0.0
HEC Infra Projects Limited,73.2,0.0,0.0
HEG Limited,55.78,0.0,0.0
HFCL Limited,37.69,241548750.0,44.43
HIL Limited,40.57,0.0,0.0
HLV LIMITED,45.36,154000000.0,51.49
HMT Limited,93.69,0.0,0.0
HOV Services Limited,50.42,0.0,0.0
HT Media Limited,70.13,0.0,0.0
Happiest Minds Technologies Limited,45.87,1183884.0,1.69
Harrisons  Malayalam Limited,54.12,0.0,0.0
Hathway Cable & Datacom Limited,75.0,0.0,0.0
Hatsun Agro Product Limited,73.17,0.0,0.0
Havells India Limited,59.41,0.0,0.0
Heads UP Ventures Limited,13.56,0.0,0.0
Healthcare Global Enterprises Limited,71.25,3067000.0,3.09
HeidelbergCement India Limited,69.39,0.0,0.0
Hercules Hoists Limited,69.61,0.0,0.0
Heritage Foods Limited,41.3,0.0,0.0
Hero MotoCorp Limited,34.75,0.0,0.0
Hester Biosciences Limited,53.73,0.0,0.0
Heubach Colorants India Limited,54.37,0.0,0.0
Hexa Tradex Limited,92.13,0.0,0.0
Hi-Tech Pipes Limited,53.95,2296000.0,2.69
Hikal Limited,68.85,0.0,0.0
Hilton Metal Forging Limited,27.67,400000.0,6.88
Himadri Speciality Chemical Limited,50.78,0.0,0.0
Himatsingka Seide Limited,47.57,0.0,0.0
Hind Rectifiers Limited,44.05,0.0,0.0
Hindalco Industries Limited,35.08,0.0,0.0
Hinduja Global Solutions Limited,67.99,0.0,0.0
Hindustan Composites Limited,74.97,0.0,0.0
Hindustan Construction Company Limited,18.59,239919286.0,76.85
Hindustan Copper Limited,66.14,0.0,0.0
Hindustan Media Ventures Limited,74.61,0.0,0.0
Hindustan Motors Limited,32.34,0.0,0.0
Hindustan Oil Exploration Company Limited,0.0,0.0,
Hindustan Petroleum Corporation Limited,54.9,0.0,0.0
Hindustan Unilever Limited,61.9,0.0,0.0
Hindustan Zinc Limited,63.42,2556934633.0,95.42
